Ticker,Company Name,Sector,Market Cap,ETF,AUM,Dividend Yield,YTD Return,5-Year Avg Return
AAPL,Apple Inc.,Technology,3454067277824,VIG,97353678848,0.004276142,0.14700639,0.1285342
AVGO,Broadcom Inc.,Technology,743011909632,VIG,97353678848,0.0122325085,0.14700639,0.1285342
MSFT,Microsoft Corporation,Technology,3073487667200,VIG,97353678848,0.0071978695,0.14700639,0.1285342
JPM,JP Morgan Chase & Co.,Financial Services,623573729280,VIG,97353678848,0.020154826,0.14700639,0.1285342
XOM,Exxon Mobil Corporation,Energy,527852601344,VIG,97353678848,0.032324623,0.14700639,0.1285342
UNH,UnitedHealth Group Incorporated,Healthcare,542166417408,VIG,97353678848,0.01324186,0.14700639,0.1285342
V,Visa Inc.,Financial Services,521904488448,VIG,97353678848,0.007777445,0.14700639,0.1285342
MA,Mastercard Incorporated,Financial Services,432946053120,VIG,97353678848,0.005466941,0.14700639,0.1285342
PG,Procter & Gamble Company (The),Consumer Defensive,400273113088,VIG,97353678848,0.022634037,0.14700639,0.1285342
JNJ,Johnson & Johnson,Healthcare,396255756288,VIG,97353678848,0.029306037,0.14700639,0.1285342
HD,"Home Depot, Inc. (The)",Consumer Cyclical,371600818176,VIG,97353678848,0.011555154,0.14700639,0.1285342
COST,Costco Wholesale Corporation,Consumer Defensive,395680940032,VIG,97353678848,0.004799763,0.14700639,0.1285342
ABBV,AbbVie Inc.,Healthcare,348746153984,VIG,97353678848,0.031030118,0.14700639,0.1285342
WMT,Walmart Inc.,Consumer Defensive,611550363648,VIG,97353678848,0.010501982,0.14700639,0.1285342
MRK,"Merck & Company, Inc.",Healthcare,294722371584,VIG,97353678848,0.025728988,0.14700639,0.1285342
BAC,Bank of America Corporation,Financial Services,309762424832,VIG,97353678848,0.024138797,0.14700639,0.1285342
KO,Coca-Cola Company (The),Consumer Defensive,305311186944,VIG,97353678848,0.027081244,0.14700639,0.1285342
PEP,"Pepsico, Inc.",Consumer Defensive,241707122688,VIG,97353678848,0.029282995,0.14700639,0.1285342
ORCL,Oracle Corporation,Technology,382788927488,VIG,97353678848,0.011495079,0.14700639,0.1285342
LIN,Linde plc,Basic Materials,223691046912,VIG,97353678848,0.011444153,0.14700639,0.1285342
AVGO,Broadcom Inc.,Technology,743011909632,VYM,70002917376,0.0122325085,0.144286,0.117282495
JPM,JP Morgan Chase & Co.,Financial Services,623573729280,VYM,70002917376,0.020154826,0.144286,0.117282495
XOM,Exxon Mobil Corporation,Energy,527852601344,VYM,70002917376,0.032324623,0.144286,0.117282495
JNJ,Johnson & Johnson,Healthcare,396255756288,VYM,70002917376,0.029306037,0.144286,0.117282495
PG,Procter & Gamble Company (The),Consumer Defensive,400273113088,VYM,70002917376,0.022634037,0.144286,0.117282495
HD,"Home Depot, Inc. (The)",Consumer Cyclical,371600818176,VYM,70002917376,0.011555154,0.144286,0.117282495
ABBV,AbbVie Inc.,Healthcare,348746153984,VYM,70002917376,0.031030118,0.144286,0.117282495
WMT,Walmart Inc.,Consumer Defensive,611550363648,VYM,70002917376,0.010501982,0.144286,0.117282495
MRK,"Merck & Company, Inc.",Healthcare,294722371584,VYM,70002917376,0.025728988,0.144286,0.117282495
BAC,Bank of America Corporation,Financial Services,309762424832,VYM,70002917376,0.024138797,0.144286,0.117282495
CVX,Chevron Corporation,Energy,269490372608,VYM,70002917376,0.042541664,0.144286,0.117282495
KO,Coca-Cola Company (The),Consumer Defensive,305311186944,VYM,70002917376,0.027081244,0.144286,0.117282495
PEP,"Pepsico, Inc.",Consumer Defensive,241707122688,VYM,70002917376,0.029282995,0.144286,0.117282495
WFC,Wells Fargo & Company,Financial Services,193061847040,VYM,70002917376,0.024691356,0.144286,0.117282495
QCOM,QUALCOMM Incorporated,Technology,188811870208,VYM,70002917376,0.018731989,0.144286,0.117282495
CSCO,"Cisco Systems, Inc.",Technology,204623265792,VYM,70002917376,0.031139141,0.144286,0.117282495
MCD,McDonald's Corporation,Consumer Cyclical,207082569728,VYM,70002917376,0.022554575,0.144286,0.117282495
TXN,Texas Instruments Incorporated,Technology,190141825024,VYM,70002917376,0.024490183,0.144286,0.117282495
ABT,Abbott Laboratories,Healthcare,196086726656,VYM,70002917376,0.019167628,0.144286,0.117282495
PM,Philip Morris International Inc,Consumer Defensive,188519497728,VYM,70002917376,0.04327923,0.144286,0.117282495
LMT,Lockheed Martin Corporation,Industrials,133027594240,SCHD,58653278208,0.022432027,0.1186341,0.13802141
ABBV,AbbVie Inc.,Healthcare,348746153984,SCHD,58653278208,0.031030118,0.1186341,0.13802141
HD,"Home Depot, Inc. (The)",Consumer Cyclical,371600818176,SCHD,58653278208,0.011555154,0.1186341,0.13802141
BLK,"BlackRock, Inc.",Financial Services,130817761280,SCHD,58653278208,0.022880703,0.1186341,0.13802141
CSCO,"Cisco Systems, Inc.",Technology,204623265792,SCHD,58653278208,0.031139141,0.1186341,0.13802141
KO,Coca-Cola Company (The),Consumer Defensive,305311186944,SCHD,58653278208,0.027081244,0.1186341,0.13802141
AMGN,Amgen Inc.,Healthcare,175588376576,SCHD,58653278208,0.026642337,0.1186341,0.13802141
BMY,Bristol-Myers Squibb Company,Healthcare,97801773056,SCHD,58653278208,0.049262106,0.1186341,0.13802141
TXN,Texas Instruments Incorporated,Technology,190141825024,SCHD,58653278208,0.024490183,0.1186341,0.13802141
PEP,"Pepsico, Inc.",Consumer Defensive,241707122688,SCHD,58653278208,0.029282995,0.1186341,0.13802141
VZ,Verizon Communications Inc.,Communication Services,174652997632,SCHD,58653278208,0.06454744,0.1186341,0.13802141
PFE,"Pfizer, Inc.",Healthcare,163880960000,SCHD,58653278208,0.057439446,0.1186341,0.13802141
MO,"Altria Group, Inc.",Consumer Defensive,89934856192,SCHD,58653278208,0.0747521,0.1186341,0.13802141
UPS,"United Parcel Service, Inc.",Industrials,110721261568,SCHD,58653278208,0.050793152,0.1186341,0.13802141
CVX,Chevron Corporation,Energy,269490372608,SCHD,58653278208,0.042541664,0.1186341,0.13802141
EOG,"EOG Resources, Inc.",Energy,73952116736,SCHD,58653278208,0.028014185,0.1186341,0.13802141
USB,U.S. Bancorp,Financial Services,71190462464,SCHD,58653278208,0.042961005,0.1186341,0.13802141
OKE,"ONEOK, Inc.",Energy,51748954112,SCHD,58653278208,0.04456682,0.1186341,0.13802141
KMB,Kimberly-Clark Corporation,Consumer Defensive,48546926592,SCHD,58653278208,0.033423856,0.1186341,0.13802141
VLO,Valero Energy Corporation,Energy,45843173376,SCHD,58653278208,0.028655652,0.1186341,0.13802141
JPM,JP Morgan Chase & Co.,Financial Services,623573729280,DGRO,28992258048,0.020154826,0.1551383,0.1306541
JNJ,Johnson & Johnson,Healthcare,396255756288,DGRO,28992258048,0.029306037,0.1551383,0.1306541
XOM,Exxon Mobil Corporation,Energy,527852601344,DGRO,28992258048,0.032324623,0.1551383,0.1306541
ABBV,AbbVie Inc.,Healthcare,348746153984,DGRO,28992258048,0.031030118,0.1551383,0.1306541
AAPL,Apple Inc.,Technology,3454067277824,DGRO,28992258048,0.004276142,0.1551383,0.1306541
MSFT,Microsoft Corporation,Technology,3073487667200,DGRO,28992258048,0.0071978695,0.1551383,0.1306541
CVX,Chevron Corporation,Energy,269490372608,DGRO,28992258048,0.042541664,0.1551383,0.1306541
AVGO,Broadcom Inc.,Technology,743011909632,DGRO,28992258048,0.0122325085,0.1551383,0.1306541
PG,Procter & Gamble Company (The),Consumer Defensive,400273113088,DGRO,28992258048,0.022634037,0.1551383,0.1306541
HD,"Home Depot, Inc. (The)",Consumer Cyclical,371600818176,DGRO,28992258048,0.011555154,0.1551383,0.1306541
KO,Coca-Cola Company (The),Consumer Defensive,305311186944,DGRO,28992258048,0.027081244,0.1551383,0.1306541
UNH,UnitedHealth Group Incorporated,Healthcare,542166417408,DGRO,28992258048,0.01324186,0.1551383,0.1306541
PEP,"Pepsico, Inc.",Consumer Defensive,241707122688,DGRO,28992258048,0.029282995,0.1551383,0.1306541
IBM,International Business Machines,Technology,182368878592,DGRO,28992258048,0.03391127,0.1551383,0.1306541
CSCO,"Cisco Systems, Inc.",Technology,204623265792,DGRO,28992258048,0.031139141,0.1551383,0.1306541
MRK,"Merck & Company, Inc.",Healthcare,294722371584,DGRO,28992258048,0.025728988,0.1551383,0.1306541
BAC,Bank of America Corporation,Financial Services,309762424832,DGRO,28992258048,0.024138797,0.1551383,0.1306541
BMY,Bristol-Myers Squibb Company,Healthcare,97801773056,DGRO,28992258048,0.049262106,0.1551383,0.1306541
MCD,McDonald's Corporation,Consumer Cyclical,207082569728,DGRO,28992258048,0.022554575,0.1551383,0.1306541
AMGN,Amgen Inc.,Healthcare,175588376576,DGRO,28992258048,0.026642337,0.1551383,0.1306541
