Name,Sector,MarketCap,ticker
Lockheed Martin Corporation,Industrials,132291076096,LMT
AbbVie Inc.,Healthcare,348940468224,ABBV
"The Home Depot, Inc.",Consumer Cyclical,373070921728,HD
"BlackRock, Inc.",Financial Services,130773327872,BLK
"Cisco Systems, Inc.",Technology,204421824512,CSCO
The Coca-Cola Company,Consumer Defensive,300785827840,KO
Amgen Inc.,Healthcare,176673783808,AMGN
Bristol-Myers Squibb Company,Healthcare,97538211840,BMY
Texas Instruments Incorporated,Technology,191630098432,TXN
"PepsiCo, Inc.",Consumer Defensive,241569759232,PEP
Verizon Communications Inc.,Communication Services,173474316288,VZ
Pfizer Inc.,Healthcare,163767615488,PFE
"Altria Group, Inc.",Consumer Defensive,89474179072,MO
"United Parcel Service, Inc.",Industrials,109616283648,UPS
Chevron Corporation,Energy,267893374976,CVX
"EOG Resources, Inc.",Energy,72155340800,EOG
U.S. Bancorp,Financial Services,70831546368,USB
"ONEOK, Inc.",Energy,51439394816,OKE
Kimberly-Clark Corporation,Consumer Defensive,48368422912,KMB
Valero Energy Corporation,Energy,46733828096,VLO
Ford Motor Company,Consumer Cyclical,44801069056,F
"Paychex, Inc.",Technology,46816509952,PAYX
Fastenal Company,Industrials,38997192704,FAST
The Hershey Company,Consumer Defensive,39715205120,HSY
Fifth Third Bancorp,Financial Services,28469538816,FITB
M&T Bank Corporation,Financial Services,28169725952,MTB
LyondellBasell Industries N.V.,Basic Materials,31952996352,LYB
"T. Rowe Price Group, Inc.",Financial Services,24401192960,TROW
Cincinnati Financial Corporation,Financial Services,20750233600,CINF
Huntington Bancshares Incorporated,Financial Services,21249050624,HBAN
Regions Financial Corporation,Financial Services,20874000384,RF
"Darden Restaurants, Inc.",Consumer Cyclical,18251749376,DRI
Coterra Energy Inc.,Energy,17860859904,CTRA
Packaging Corporation of America,Consumer Cyclical,18304542720,PKG
"Skyworks Solutions, Inc.",Technology,17442584576,SWKS
"Best Buy Co., Inc.",Consumer Cyclical,19015188480,BBY
KeyCorp,Financial Services,15842938880,KEY
Amcor plc,Consumer Cyclical,16043275264,AMCR
"CF Industries Holdings, Inc.",Basic Materials,14506929152,CF
"Watsco, Inc.",Industrials,19589447680,WSO
"Fidelity National Financial, Inc.",Financial Services,16057571328,FNF
Snap Inc.,Communication Services,15648897024,SNAP
"DICK'S Sporting Goods, Inc.",Consumer Cyclical,19490826240,DKS
"The Interpublic Group of Companies, Inc.",Communication Services,12094030848,IPG
"C.H. Robinson Worldwide, Inc.",Industrials,11938236416,CHRW
"East West Bancorp, Inc.",Financial Services,11738457088,EWBC
APA Corporation,Energy,10531194880,APA
Unum Group,Financial Services,10076326912,UNM
"H&R Block, Inc.",Consumer Cyclical,8843279360,HRB
"Tapestry, Inc.",Consumer Cyclical,9591006208,TPR
The Hershey Company,Consumer Defensive,39715205120,HSY
Comerica Incorporated,Financial Services,7625871360,CMA
"Zions Bancorporation, National Association",Financial Services,7371556864,ZION
"Vail Resorts, Inc.",Consumer Cyclical,6693309440,MTN
Synovus Financial Corp.,Financial Services,6638548992,SNV
Robert Half Inc.,Industrials,6639813632,RHI
"Nexstar Media Group, Inc.",Communication Services,5533894144,NXST
Radian Group Inc.,Financial Services,5407563264,RDN
Whirlpool Corporation,Consumer Cyclical,5619539968,WHR
"Columbia Banking System, Inc.",Financial Services,5230740480,COLB
Janus Henderson Group plc,Financial Services,5935769600,JHG
Bank OZK,Financial Services,4936818688,OZK
The Western Union Company,Financial Services,3985792256,WU
"MSC Industrial Direct Co., Inc.",Industrials,4671678464,MSM
Huntsman Corporation,Basic Materials,3792247808,HUN
"Insperity, Inc.",Industrials,3512852992,NSP
International Bancshares Corporation,Financial Services,3883896576,IBOC
Cathay General Bancorp,Financial Services,3236120832,CATY
The Wendy's Company,Consumer Cyclical,3434806784,WEN
Artisan Partners Asset Management Inc.,Financial Services,2940844544,APAM
Bank of Hawaii Corporation,Financial Services,2696111872,BOH
"Carter's, Inc.",Consumer Cyclical,2394527232,CRI
CVB Financial Corp.,Financial Services,2540834048,CVBF
"Cohen & Steers, Inc.",Financial Services,4474286592,CNS
"Heartland Financial USA, Inc.",Financial Services,2396518400,HTLF
Banner Corporation,Financial Services,2038090240,BANR
OFG Bancorp,Financial Services,2092939520,OFG
City Holding Company,Financial Services,1751695616,CHCO
"Northwest Bancshares, Inc.",Financial Services,1757719808,NWBI
First Commonwealth Financial Corporation,Financial Services,1755525376,FCF
"Leggett & Platt, Incorporated",Consumer Cyclical,1697199872,LEG
"S&T Bancorp, Inc.",Financial Services,1657258624,STBA
Lakeland Financial Corporation,Financial Services,1703390848,LKFN
"Virtus Investment Partners, Inc.",Financial Services,1534967936,VRTS
Kforce Inc.,Industrials,1277270016,KFRC
"The Buckle, Inc.",Consumer Cyclical,2219020544,BKE
"AMERISAFE, Inc.",Financial Services,940639296,AMSF
1st Source Corporation,Financial Services,1499172224,SRCE
"First Bancshares, Inc.",Financial Services,60584092,FBSI
"Cracker Barrel Old Country Store, Inc.",Consumer Cyclical,906519936,CBRL
Preferred Bank,Financial Services,1097320704,PFBC
Premier Financial Corp.,Financial Services,904205312,PFC
Ethan Allen Interiors Inc.,Consumer Cyclical,789801856,ETD
Central Pacific Financial Corp.,Financial Services,747496640,CPF
Heritage Financial Corporation,Financial Services,793412608,HFWA
"Guess?, Inc.",Consumer Cyclical,1152419072,GES
